Code	Dansk (Danish, da)	Deutsch (German, de)	English (English, en)	Nederlands (Dutch, nl)	Polskie (Polish, pl)	Русский (Russian, ru)	中文 (Chinese, zh)
ar	Arabisk		Arabic	Arabisch			
bn	Bengalsk	Bengalisch	Bengali	Bengaals		Бенгальский	孟加拉语
cs	Tjekkisk	Tschechisch	Czech	Tsjechisch		Чешский	捷克语
da	Dansk	Dänisch	Danish	Deens		Датский	丹麦语
de	Tysk	Deutsch	German	Duits		Немецкий	德语
de-AT	Tysk (Østrig	Deutsch (Österreich)	German (Austria)	Duits (Oostenrijk)		Немецкий (Австрия)	德语 （奥地利）
de-CH	Tysk (Schweiz)	Deutsch (Schweiz)	German (Switzerland)	Duits (Zwitserland)		Немецкий (Швейцария)	德语 （瑞士）
de-DE	Tysk (Tyskland)	Deutsch (Deutschland)	German (Germany)	Duits (Duitsland)		Немецкий (Германия)	德语 （德国）
el	Græsk	Griechisch	Greek	Grieks		Греческий	希腊语
en	Engelsk	Englisch	English	Engels		Английский	英语
en-AU	Engelsk (Australien)	Englisch (Australien)	English (Australia)	Engels (Australië)		Английский (Австралия)	英语 （澳大利亚）
en-CA	Engelsk (Canada)	Englisch (Kanada)	English (Canada)	Engels (Canada)		Английский (Канада)	英语 （加拿大）
en-GB	Engelsk (Storbritannien)	Englisch (Großbritannien)	English (Great Britain)	Engels (Groot Brittannië)		Английский (Великобритания)	英语 （英国）
en-IN	Engelsk (Indien)	Englisch (Indien)	English (India)	Engels (India)		Английский (Индия)	英语 （印度）
en-NZ	Engelsk (New Zeeland)	Englisch (Neuseeland)	English (New Zeland)	Engels (Nieuw Zeeland)		Английский (Новая Зеландия)	英语 （新西兰）
en-SG	Engelsk (Singapore)	Englisch (Singapur)	English (Singapore)	Engels (Singapore)		Английский (Сингапур)	英语 （新加坡）
en-US	Engelsk (Amerikansk)	Englisch (USA)	English (United States)	Engels (Verenigde Staten)		Английский (США)	英语 （美国）
es	Spansk	Spanisch	Spanish	Spaans		Испанский	西班牙语
es-AR	Spansk (Argentina)	Spanisch (Argentinien)	Spanish (Argentina)	Spaans (Argentinië)		Испанский (Аргентина)	西班牙语 （阿根廷）
es-ES	Spansk (Spanien)	Spanisch (Spanien)	Spanish (Spain)	Spaans (Spanje)		Испанский (Испания)	西班牙语 （西班牙）
es-UY	Spansk (Uruguay)	Spanisch (Uruguay)	Spanish (Uruguay)	Spaans (Uruguay)		Испанский (Уругвай)	西班牙语 （乌拉圭）
fi	Finsk	Finnisch	Finnish	Fins		Финский	芬兰语
fr	Fransk	Französisch	French	Frans		Французский	法语
fr-BE	Finsk (Belgien)	Französisch (Belgien)	French (Belgium)	Frans (België)			
fr-CH	Fransk (Schweiz)	Französisch (Schweiz)	French (Switzerland)	Frans (Zwitserland)		Французский (Швейцария)	法语 （比利时）
fr-FR	Fransk (Frankrig)	Französisch (Frankreich)	French (France)	Frans (Frankrijk)		Французский (Франция)	法语 （瑞士）
fy	Frisisk	Friesisch	Frysian	Fries			弗里士兰语
fy-NL	Frisisk (Holland)	Friesisch (Niederlande)	Frysian (Netherlands)	Fries (Nederland)			弗里士兰语（荷兰）
hi	Hindi		Hindi	Hindi			
hr	Kroatisk	Kroatisch	Croatian	Kroatisch		Хорватский	克罗地亚语
it	Italiensk	Italienisch	Italian	Italiaans		Итальянский	意大利语
it-CH	Italiensk (Schweiz)	Italienisch (Schweiz)	Italian (Switzerland)	Italiaans (Zwitserland)		Итальянский (Швейцария)	意大利语 （瑞士）
it-IT	Italiensk (Italien)	Italienisch (Italien)	Italian (Italy)	Italiaans (Italië)		Итальянский (Италия)	意大利语 （意大利）
ja	Japansk	Japanisch	Japanese	Japans		Японский	日语
ko	Koreansk	Koreanisch	Korean	Koreaans		Корейский	朝鲜语
nl	Hollandsk	Niederländisch	Dutch	Nederlands		Нидерландский	荷兰语
nl-BE	Hollandsk (Belgien)	Niederländisch (Belgien)	Dutch (Belgium)	Nederlands (België)			荷兰语 （比利时）
nl-NL	Hollandsk (Holland)	Niederländisch (Niederlande)	Dutch (Netherlands)	Nederlands (Nederland)		Нидерландский (Нидерланды)	荷兰语 （荷兰）
no	Norsk	Norwegisch	Norwegian	Noors		Норвежский	挪威语
no-NO	Norsk (Norge)	Norwegisch (Norwegen)	Norwegian (Norway)	Noors (Noorwegen)		Норвежский (Норвегия)	挪威语 （挪威）
pa	Punjabi		Punjabi	Punjabi			
pl					Polskie		
pt	Portugisisk	Portugiesisch	Portuguese	Portugees		Португальский	葡萄牙语
pt-BR	Portugisisk (Brasilien)	Portugiesisch (Brasilien)	Portuguese (Brazil)	Portugees (Brazilië)		Португальский (Бразилия)	葡萄牙语 （巴西）
ru	Russisk	Russisch	Russian	Russisch		Русский	俄语
ru-RU	Russisk (Rusland)	Russisch (Russland)	Russian (Russia)	Russisch (Rusland)		Русский (Россия)	俄语 （俄罗斯）
sr	Serbisk	Serbisch	Serbian	Servisch		Сербский	塞尔维亚语
sr-RS	Serbisk (Serbien)	Serbisch (Serbien)	Serbian (Serbia)	Servisch (Servië)		Сербский (Сербия)	塞尔维亚语 （塞尔维亚）
sv	Svensk	Schwedisch	Swedish	Zweeds		Шведский	瑞典语
sv-SE	Svensk (Sverige)	Schwedisch (Schweden)	Swedish (Sweden)	Zweeds (Zweden)		Шведский (Швеция)	瑞典语 （瑞典）
te	Telugu	Telugu	Telegu	Teloegoe		Телугу	泰卢固语
zh	Kinesisk	Chinesisch	Chinese	Chinees		Kитайский	中文
zh-CN	Kinesisk (Kina)	Chinesisch (China)	Chinese (China)	Chinees (China)		Kитайский (Китай)	中文 （中国）
zh-HK	Kinesisk (Hong Kong)	Chinesisch (Hong Kong)	Chinese (Hong Kong)	Chinees (Hong Kong)		Kитайский (Гонконг)	中文 （香港特别行政区）
zh-SG	Kinesisk (Singapore)	Chinesisch (Singapur)	Chinese (Singapore)	Chinees (Singapore)		Kитайский (Сингапур)	中文 （新加坡）
zh-TW	Kinesisk (Taiwan)	Chinesisch (Taiwan)	Chinese (Taiwan)	Chinees (Taiwan)		Kитайский (Тайвань)	中文 （台湾）
